,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,logo,course_organization_img,course_title_img
240,Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,COURSE,4.8,Beginner,5.6k,,https://study-eu.s3.amazonaws.com/uploads/university/erasmus-university-rotterdam-261-logo.png,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/a8/b839ee6b2a410f861a2368b0845f8d/New-RSM-Hummingbird.jpg?auto=format%2Ccompress&dpr=1&w=300&h=300&fit=crop
241,Drug Commercialization,University of California San Diego,COURSE,4.7,Beginner,17k,,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/1200px-University_of_California%2C_San_Diego_seal.svg.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~drug-commercialization/XDP~COURSE!~drug-commercialization.jpeg
242,Drug Discovery,University of California San Diego,COURSE,4.6,Beginner,39k,,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/University_of_California%2C_San_Diego_seal.svg/1200px-University_of_California%2C_San_Diego_seal.svg.png,http://www.bmdrc.org/wp-content/uploads/2020/05/DD_Pipeline_ENG.png
243,Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.7,Beginner,110k,,http://www.ranklogos.com/wp-content/uploads/2012/06/university-of-washington.gif,https://w7.pngwing.com/pngs/61/178/png-transparent-dynamic-public-speaking-glossophobia-speech-cartoon-speaker-cartoon-character-electronics-orange.png
244,EMT Foundations,University of Colorado System,COURSE,4.8,Beginner,7.1k,,https://content.energage.com/company-images/DV19/SE79838/SE79838_logo_orig.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~emt-foundations/XDP~COURSE!~emt-foundations.jpeg
245,Ecology: Ecosystem Dynamics and Conservation,American Museum of Natural History,COURSE,4.8,Intermediate,18k,,https://www.fddb.org/wp-content/uploads/img_logo_fulldome_organization_american_museum_of_natural_history_9153d6995b.jpg,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ecology-conservation/XDP~COURSE!~ecology-conservation.jpeg
246,Econometrics: Methods and Applications,Erasmus University Rotterdam,COURSE,4.7,Mixed,110k,,https://study-eu.s3.amazonaws.com/uploads/university/erasmus-university-rotterdam-261-logo.png,https://collegelearners.com/wp-content/uploads/2020/06/econometrics-methods-and-applications-228x300.jpg
247,Economics of Money and Banking,Columbia University,COURSE,4.9,Mixed,83k,,http://pluspng.com/img-png/columbia-university-logo-png--1200.png,https://d3by36x8sj6cra.cloudfront.net/assets/images/book/lrg/9780/3215/9780321599889.jpg
248,Ecosystem Services: a Method for Sustainable Development,University of Geneva,COURSE,4.7,Intermediate,16k,,https://i.pinimg.com/originals/50/08/38/5008382bfbcbb340a81788cc1186343a.png,https://useruploads.socratic.org/OAnTUycTQi6W1XYTfTl4_fenvs-04-00041-g002.jpg
249,Effective Compliance Programs,University of Pennsylvania,COURSE,4.9,Mixed,3.4k,,https://www.interfolio.com/wp-content/uploads/University_of_Pennsylvania_Logo.png,https://wp.wwu.edu/rcps/files/2018/04/CP-Image-1hujsnv.png
250,Egiptología (Egyptology),Universitat Autònoma de Barcelona,COURSE,4.9,Beginner,46k,,https://enem.ametic.es/wp-content/uploads/empresas/853197_logotip_logo1_x2.png,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/egyptology-dennis-cox-worldviews.jpg
251,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,COURSE,5.0,Beginner,1.5k,,https://www.austral.edu.ar/impactoaustral/wp-content/uploads/2020/01/logo-vertical-5000px.png,https://miro.medium.com/max/1400/1*a6RFs_6F12Vioc4emqrb3w.jpeg
252,Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,COURSE,4.7,Intermediate,57k,,https://logos-world.net/wp-content/uploads/2021/02/Google-Cloud-Emblem.png,https://1.bp.blogspot.com/-EgQzsVMcsBQ/X2seQ2IdEbI/AAAAAAAABB4/Mv_sxB1buyALRYOG2EndBMOZIB_b3Pv-QCPcBGAYYCw/s1170/pics.jpg
253,Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12k,,http://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,https://collegelearners.org/wp-content/uploads/2020/06/electric-industry-operations-and-markets.png
254,Electronic Music Production,Berklee College of Music,SPECIALIZATION,4.8,Intermediate,110k,,https://www.professors.directory/gallery/86__cnu.jpg,https://www.fonderiesonore.it/fs/wp-content/uploads/2020/06/fonderie-sonore-Corso-Electronic-Music-Production-1536x864.jpg
255,Emerging Technologies: From Smartphones to IoT to Big Data,Yonsei University,SPECIALIZATION,4.6,Beginner,17k,,https://s3.ap-south-1.amazonaws.com/leverageedu/school-logo/korea-south/2019-12-14_54_YonseiUniversityEmblem.svg.png,https://d15cw65ipctsrr.cloudfront.net/19/52d0b023c711e5a7f147dd3d94c687/logo22.png
256,"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,Beginner,37k,,http://media.bizj.us/view/img/2690091/suny-ub-logo*1200xx1200-675-0-63.jpg,https://m.media-amazon.com/images/I/71mHrhO5pbL.jpg
257,Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,Beginner,14k,,https://logos-download.com/wp-content/uploads/2021/01/New_York_University_Logo_nyu-1414x2048.png,https://datafloq.com/wp-content/uploads/2022/09/engineering-health-introduction-to-yoga-and-physiology-img-750x420.png
258,Engineering Project Management: Initiating and Planning,Rice University,COURSE,4.7,Beginner,23k,,https://logos-download.com/wp-content/uploads/2018/07/RICE_University_logo_blue.png,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~initiating-planning/XDP~COURSE!~initiating-planning.jpeg
259,English Composition I,Duke University,COURSE,4.6,Beginner,200k,,http://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,https://content.kopykitab.com/ebooks/2018/05/18375/content/medium/page1.png
260,English for Business and Entrepreneurship,University of Pennsylvania,COURSE,4.8,Beginner,230k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://aseanop.com/wp-content/uploads/2020/03/English-for-Business-and-Entrepreneurship.jpg
261,English for Career Development,University of Pennsylvania,COURSE,4.8,Mixed,760k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://i.ytimg.com/vi/ZIv8ywn1aZY/maxresdefault.jpg
262,English for Journalism,University of Pennsylvania,COURSE,4.8,Mixed,130k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,http://professorsuleimanmazyad.com/wp-content/uploads/2019/05/Screenshot-from-2019-05-28-18-05-57.png
263,English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,Intermediate,42k,,http://nturanking.csti.tw/static/NTURankingData/img/UnivImage/RUU000007.jpg,https://media.s-bol.com/n8VVWkNZnJWR/D1kGqK6/549x840.jpg
264,"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,Beginner,110k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://www.coursya.com/wp-content/uploads/2023/01/english-for-science-technology-engineering-and-mathematics.jpeg
265,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,COURSE,4.4,Beginner,2.4k,,https://study-eu.s3.amazonaws.com/uploads/university/peter-the-great-st--petersburg-polytechnic-university-521-logo.png,https://d35fo82fjcw0y8.cloudfront.net/2019/06/10111112/enterprise-architecture-pyramid-of-domains.jpg
266,Entrepreneurial Finance: Strategy and Innovation,Duke University,SPECIALIZATION,4.5,Intermediate,7.9k,,http://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,https://coursecouponclub.com/wp-content/uploads/2021/05/Entrepreneurial-Finance-Strategy-and-Innovation-Specialization--2048x1073.jpeg
267,Entrepreneurship,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,110k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://www.enjoyitaly.org/wp-content/uploads/2016/04/entrepreneurship.jpg
268,Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,COURSE,4.8,Mixed,86k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://i.pinimg.com/originals/5a/10/1d/5a101dd5623d35bc17558a73013976c4.png
269,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,COURSE,4.8,Mixed,38k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-course-photos.s3.amazonaws.com/d8/226980af7011e5838af79cb4e6f6c7/coursera_entrepreneurship_startup_8x8.png
270,Entrepreneurship 3: Growth Strategies,University of Pennsylvania,COURSE,4.7,Beginner,31k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~growth-strategy/XDP~COURSE!~growth-strategy.jpeg
271,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,COURSE,4.8,Beginner,20k,,http://blog.goulvestre.com/wp-content/uploads/2012/10/logo-hec-paris.jpg,https://bqotd.com/wp-content/uploads/2020/04/As-an-entrepreneur-you-shouldnt-have-an-exit-strategy.-If-you-are-planning-for-an-exit-your-mind-is-focused-on-the-wrong-things-for-your-business.-scaled.jpg
272,Entrepreneurship: Launching an Innovative Business,"University of Maryland, College Park",SPECIALIZATION,4.6,Beginner,69k,,https://d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_Maryland_College_Park_logo.jpg,https://miro.medium.com/v2/resize:fit:1200/0*K_OOoxExRza5bCYo
273,Epidemics - the Dynamics of Infectious Diseases,The Pennsylvania State University,COURSE,4.8,Mixed,45k,,https://logos-download.com/wp-content/uploads/2019/06/Pennsylvania_State_University_Logo_old_1.png,https://ml64zza7noul.i.optimole.com/eBJb8E8-tuNbrQ05/w:auto/h:auto/q:90/https://learningwhere.com/wp-content/uploads/2018/07/infectiousdisease-MOOC.png
274,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,COURSE,4.7,Mixed,23k,,https://s3.amazonaws.com/libapps/accounts/22857/images/1024px-University_of_Pittsburgh_Seal__official_.svg.png,https://ichef.bbci.co.uk/news/976/cpsprodpb/A579/production/_122716324_endemic_pandemic_640-2x-nc.png
275,Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,Beginner,6.4k,,https://logos-download.com/wp-content/uploads/2020/06/Imperial_College_London_Logo.png,http://prodimage.images-bn.com/pimages/9781284175431_p0_v2_s1200x630.jpg
276,Epidemiology in Public Health Practice,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,,https://www.datasciencedegreeprograms.net/wp-content/uploads/2018/02/johns-hopkins-university.png,http://prodimage.images-bn.com/pimages/9781284175431_p0_v2_s1200x630.jpg
277,Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,COURSE,4.6,Mixed,130k,,https://www.pngfind.com/pngs/m/444-4442564_university-of-north-carolina-at-chapel-hill-logo.png,https://image.slideserve.com/491899/why-is-epidemiology-the-basic-science-of-public-health-l.jpg
278,Epigenetic Control of Gene Expression,The University of Melbourne,COURSE,4.8,Mixed,35k,,https://cdn.freebiesupply.com/logos/large/2x/the-university-of-melbourne-logo-png-transparent.png,https://www.researchgate.net/publication/340933813/figure/download/fig1/AS:922340984623104@1596914635256/Mechanistic-model-for-epigenetic-control-of-gene-expression-Epigenetic-mechanisms-are.png
279,Equine Welfare and Management,"University of California, Davis",COURSE,4.8,Beginner,7.2k,,https://france-ameriques.org/wp-content/uploads/2019/06/1200px-The_University_of_California_Davis.svg_-1024x1024.png,https://horserookie.com/wp-content/uploads/2021/03/equine-welfare.png
280,Esports,"University of California, Irvine",SPECIALIZATION,4.5,Beginner,1.8k,,https://d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_California_Irvine_logo.jpg,https://venturebeat.com/wp-content/uploads/2018/02/esports.jpg?fit=3500%2C2317&strip=all
281,Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,14k,,https://www.datasciencedegreeprograms.net/wp-content/uploads/2018/02/johns-hopkins-university.png,https://www.xuebuyan.org/wp-content/uploads/2020/05/epidemiology-tools.png
282,Essential Google Cloud Infrastructure: Core Services,Google Cloud,COURSE,4.7,Intermediate,68k,,https://logos-world.net/wp-content/uploads/2021/02/Google-Cloud-Emblem.png,https://i.pinimg.com/originals/03/c4/2a/03c42af33bb0e026d8fff4107617ee46.png
283,Essential Google Cloud Infrastructure: Foundation,Google Cloud,COURSE,4.7,Intermediate,83k,,https://logos-world.net/wp-content/uploads/2021/02/Google-Cloud-Emblem.png,https://networkingfunda.com/wp-content/uploads/2021/07/Essential-Google-Cloud-Infrastructure-Foundation-1024x493.jpg
284,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,COURSE,4.8,Intermediate,4.1k,,https://logos-download.com/wp-content/uploads/2020/06/George_Washington_University_Logo.png,https://www.coursya.com/wp-content/uploads/2023/01/essentials-in-clinical-simulations-across-the-health-professions.jpeg
285,Essentials of Corporate Finance,The University of Melbourne,SPECIALIZATION,4.6,Intermediate,54k,,https://cdn.freebiesupply.com/logos/large/2x/the-university-of-melbourne-logo-png-transparent.png,https://images.thenile.io/r1000/9781743762936.jpg
286,Essentials of Global Health,Yale University,COURSE,4.8,Mixed,31k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,https://www.frohberg.de/product/Ciando2477402/b/essentials-of-global-health.jpg
287,Estadística y probabilidad,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,27k,,https://www.pinclipart.com/picdir/big/332-3327912_unam-logo-national-autonomous-university-of-mexico-clipart.png,http://1.bp.blogspot.com/-p8XKgAjv0qs/VonurDcCnsI/AAAAAAAAAB0/zvT9j85LsTo/s1600/shutterstock_216867628.jpg
288,Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13k,,https://www.pinclipart.com/picdir/big/332-3327912_unam-logo-national-autonomous-university-of-mexico-clipart.png,https://i2.wp.com/docentesaldia.com/wp-content/uploads/2020/08/Tipos-de-evaluaci%C3%B3n-educativa-1024x1024.jpg?resize=1024%2C1024&ssl=1
289,"Everyday Excel, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,11k,,https://i.pinimg.com/originals/ae/74/cf/ae74cf180aae5ea110b5cb59ce82ab0a.png,https://media.coursesseek.com/uploads/1200/2022/08/23/everyday-excel-part-1.jpeg
290,Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,https://i.pinimg.com/originals/c3/de/06/c3de063644659896b4967cefcfe29d40.png
291,Excel Skills for Business,Macquarie University,SPECIALIZATION,4.9,Beginner,240k,,http://www.mq.edu.au/newsroom/wp-content/uploads/2015/04/MQ_MAS_VER_RGB_POS.png,https://i.ytimg.com/vi/9oAQeq2ikvc/maxresdefault.jpg
292,Excel Skills for Business: Advanced,Macquarie University,COURSE,4.7,Intermediate,39k,,http://www.mq.edu.au/newsroom/wp-content/uploads/2015/04/MQ_MAS_VER_RGB_POS.png,https://sanet.pics/storage-5/0819/u6W5RG0CUJc9cfxnDT2H1LkbCbfO9uCE.jpeg
293,Excel Skills for Business: Essentials,Macquarie University,COURSE,4.9,Beginner,200k,,http://www.mq.edu.au/newsroom/wp-content/uploads/2015/04/MQ_MAS_VER_RGB_POS.png,"https://res.cloudinary.com/quizerry/images/f_auto,q_auto/v1623204716/20201001_000332/20201001_000332.png?_i=AA"
294,Excel Skills for Business: Intermediate I,Macquarie University,COURSE,4.9,Intermediate,76k,,http://www.mq.edu.au/newsroom/wp-content/uploads/2015/04/MQ_MAS_VER_RGB_POS.png,https://i.ytimg.com/vi/9grBhpuaSwI/maxresdefault.jpg
295,Excel Skills for Business: Intermediate II,Macquarie University,COURSE,4.8,Intermediate,39k,,http://www.mq.edu.au/newsroom/wp-content/uploads/2015/04/MQ_MAS_VER_RGB_POS.png,https://i.ytimg.com/vi/kfv7_t8eGvQ/maxresdefault.jpg
296,Excel to MySQL: Analytic Techniques for Business,Duke University,SPECIALIZATION,4.6,Beginner,490k,,http://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,https://coursecouponclub.com/wp-content/uploads/2021/05/Excel-to-MySQL-Analytic-Techniques-for-Business-Specialization-.jpeg
297,Excel/VBA for Creative Problem Solving,University of Colorado Boulder,SPECIALIZATION,4.8,Beginner,56k,,https://i.pinimg.com/originals/ae/74/cf/ae74cf180aae5ea110b5cb59ce82ab0a.png,https://opengraph.githubassets.com/d7c73500ed6f4532e9287d66566b5c14332b57e32410ccce00a3768735907eba/Brucewuzhang/excel-vba-for-creative-problem-solving-part-II
298,"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,COURSE,4.8,Beginner,54k,,https://i.pinimg.com/originals/ae/74/cf/ae74cf180aae5ea110b5cb59ce82ab0a.png,https://i.ytimg.com/vi/5QUBcMfLT70/maxresdefault.jpg
299,Executive Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,170k,,https://www.datasciencedegreeprograms.net/wp-content/uploads/2018/02/johns-hopkins-university.png,https://s3.amazonaws.com/titlepages.leanpub.com/eds/hero?1472944457
300,Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28k,,https://vignette.wikia.nocookie.net/althistory/images/4/48/Escudo_de_la_Pontificia_Universidad_Cat%C3%B3lica_de_Chile.svg.png/revision/latest?cb=20161203005123&path-prefix=es,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/820716e95bc8.jpg
301,Fashion as Design,The Museum of Modern Art,COURSE,4.8,Beginner,180k,,https://www.hhhlibrary.org/sites/default/files/2020-09/moma.png,https://i.pinimg.com/originals/1e/94/59/1e9459be0b2beff3d19a49070c015e23.jpg
302,Feminism and Social Justice,"University of California, Santa Cruz",COURSE,4.8,Beginner,18k,,https://d28htnjz2elwuj.cloudfront.net/wp-content/uploads/2013/11/University_of_California_Santa_Cruz_logo.jpg,https://images.tandf.co.uk/common/jackets/agentjpg/978075070/9780750701020.jpg
303,FinTech Law and Policy,Duke University,COURSE,4.8,Beginner,9.7k,,http://1000logos.net/wp-content/uploads/2017/11/Duke-University-Logo.png,https://cdn.my-mooc.com/media/cache/catalog_product_360x200/mooc/logo/a97f96823b21a323c5a01faacd0903e0fe8972e6.png
304,FinTech: Finance Industry Transformation and Regulation,The Hong Kong University of Science and Technology,SPECIALIZATION,4.6,Beginner,13k,,https://www.timeshighereducation.com/sites/default/files/styles/institution_logo/public/logo-hkust.png?itok=2giXufqe,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/62/0283e0e63411e8ac2b09d88dd7c74f/fintech_spec.jpg?auto=format%2Ccompress&dpr=1&w=300&h=300&fit=crop
305,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://aseanop.com/wp-content/uploads/2021/06/FinTech-Foundations-Payments-and-Regulations.png
306,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://i.pinimg.com/736x/e9/72/5b/e9725b1493c01c30419288c2d6d0cb30.jpg
307,Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69k,,https://logos-download.com/wp-content/uploads/2018/07/RICE_University_logo_blue.png,https://glocalafterschool.com/wp-content/uploads/2020/08/Finance-for-Non-Finance-Professionals-_-GAS.png
308,Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12k,,https://1000logos.net/wp-content/uploads/2022/06/Emory-University-Logo.png,https://www.sherwoodbooks.co.za/wp-content/uploads/2020/05/9780627037177.jpg
309,Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65k,,https://logos-download.com/wp-content/uploads/2017/11/University_of_Virginia_logo_blue.png,https://images.thenile.io/r1000/9780078025594.jpg
310,Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://covers.vitalbook.com/vbid/9780176481834/width/200
311,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100k,,http://pluspng.com/img-png/columbia-university-logo-png--1200.png,https://i.pinimg.com/originals/c4/e9/8f/c4e98fd33ceb59f18b93843dc2b71d11.jpg
312,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76k,,https://d12dc99qm3izfr.cloudfront.net/uploads/badge/asset/165/uiuc_logo.jpg,http://www.picpedia.org/clipboard/images/financial-management.jpg
313,Financial Markets,Yale University,COURSE,4.8,Beginner,470k,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yale_University_Shield_1.svg/1200px-Yale_University_Shield_1.svg.png,http://marketbusinessnews.com/wp-content/uploads/2015/09/Financial-markets.jpg
314,Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60k,,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://coursera-university-assets.s3.amazonaws.com/cd/3616606efe11e4aa94b513cb1870b0/Square-logo-360-360.png?auto=format%2Ccompress&dpr=1&w=180&h=180,https://s3-eu-west-1.amazonaws.com/stuvia-docpics/books/1001004011563948.jpg
315,Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12k,,https://d12dc99qm3izfr.cloudfront.net/uploads/badge/asset/165/uiuc_logo.jpg,https://www.templatesdoc.com/wp-content/uploads/2016/04/financial-report-sample-12.41.gif
316,Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6.5k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://applemagazine.com/wp-content/uploads/2023/06/ey-fintech-trends-scaled.jpg
317,Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24k,,http://www.gltfoundation.com/wp-content/uploads/2017/09/bocconi_1.png,https://blogs.worldbank.org/sites/default/files/ppps/8261699153_174060061e_k.jpg
318,Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30k,,https://www.pinclipart.com/picdir/big/332-3327912_unam-logo-national-autonomous-university-of-mexico-clipart.png,http://www.globalfinances.ec/wp-content/uploads/2016/05/finanzas_corporativas_global_finances.jpg
319,Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310k,,https://www.pinclipart.com/picdir/big/332-3327912_unam-logo-national-autonomous-university-of-mexico-clipart.png,https://encaseguros.com/wp-content/uploads/2020/11/finanzas-personales.jpg
320,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://acharyadas.com/app/uploads/2019/05/Finding-Meaning-038-Purpose-in-Life-1024x576.jpg
321,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,https://kimoraweb.files.wordpress.com/2020/06/fintech-foundations-applications-of-financial-technology.jpg?w=600
322,First Step Korean,Yonsei University,COURSE,4.9,Beginner,400k,,https://s3.ap-south-1.amazonaws.com/leverageedu/school-logo/korea-south/2019-12-14_54_YonseiUniversityEmblem.svg.png,https://www.europe.study/images/south-korea/learn-korean.jpg
323,Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57k,,https://www.cintia-italy.it/templates/yootheme/cache/logo-bocconi2-86bff19b.png,https://adlonlinecourses.com/image/data/product-images/food-and-beverage-management.jpg
324,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42k,,https://remakelearning.org/wp-content/uploads/2014/07/wvu_logo-WP-1500x1000.png,https://m.media-amazon.com/images/I/51zba78vLcL._SX260_.jpg
325,Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4.4k,,http://revistaeducacionvirtual.com/wp-content/uploads/2016/09/universidad-de-los-andes-logo.png,https://i.pinimg.com/originals/64/b9/93/64b99348a1493fbb79430b496ebe65cf.jpg
326,Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14k,,http://cliparts.co/cliparts/gce/59r/gce59rp9i.jpg,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~foundational-finance/XDP~SPECIALIZATION!~foundational-finance.jpeg
327,Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63k,,https://logos-download.com/wp-content/uploads/2017/11/University_of_Virginia_logo_blue.png,https://m.media-amazon.com/images/I/515dVnh5pkL.jpg
328,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62k,,https://d12dc99qm3izfr.cloudfront.net/uploads/badge/asset/165/uiuc_logo.jpg,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~everyday-leadership-foundation/XDP~COURSE!~everyday-leadership-foundation.jpeg
329,Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31k,,https://www.datasciencedegreeprograms.net/wp-content/uploads/2018/02/johns-hopkins-university.png,https://pics.imgix.net/9781118505564-03e63d664d55f347694e68b46e0860ee.jpg
330,Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64k,,https://logos-download.com/wp-content/uploads/2018/01/IESE_Business_School_Logo.png,https://image1.slideserve.com/1922919/foundations-of-management-n.jpg
331,Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27k,,https://1000logos.net/wp-content/uploads/2022/06/Emory-University-Logo.png,https://www.coursya.com/wp-content/uploads/2023/01/foundations-of-marketing-analytics-600x314.jpeg
332,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89k,,http://3.bp.blogspot.com/-ya9LOT2xceg/Umfo0ltJ13I/AAAAAAAASr8/yPyNB4phdEg/s1600/penn3.jpg,http://bilder.buecher.de/produkte/43/43801/43801412z.jpg
333,Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3.2k,,https://logos-download.com/wp-content/uploads/2020/06/Imperial_College_London_Logo.png,https://www.dymocks.com.au/Pages/ImageHandler.ashx?q=9781515286233&w=&h=310
